team,player_name,status,reason,expected_return
Denver Nuggets,Christian Braun,Out,"15 Nov: Christian Braun (ankle) will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's win over the Clippers, Shams Charania of ESPN reports.",9 Jan
Detroit Pistons,Marcus Sasser,Out,2 Dec: Detroit assigned Sasser (hip) to the G League's Motor City Cruise on Monday.,12 Dec
Detroit Pistons,Duncan Robinson,Day-To-Day,"2 Dec: Robinson (ankle) won't play Monday against the Hawks, Hunter Patterson of The Athletic reports.",3 Dec
Golden State Warriors,Jimmy Butler III,Day-To-Day,2 Dec: Butler is questionable for Tuesday's game against the Thunder due to a left gluteal contusion.,2 Dec
Golden State Warriors,Trayce Jackson-Davis,Day-To-Day,2 Dec: Jackson-Davis (knee) is listed as questionable for Tuesday's game against the Thunder.,2 Dec
Golden State Warriors,Alex Toohey,Out,2 Dec: Toohey (knee) has been ruled out for Tuesday's game against the Thunder.,4 Dec
Golden State Warriors,Al Horford,Out,2 Dec: Horford (back) has been ruled out for Tuesday's game against the Thunder.,4 Dec
Golden State Warriors,Draymond Green,Day-To-Day,2 Dec: Green is probable for Tuesday's game against the Thunder due to a right foot sprain.,2 Dec
Golden State Warriors,De'Anthony Melton,Out,"29 Nov: Melton (knee) is expected to miss at least two more games, Danny Emerman of SFStandard.com reports.",4 Dec
Golden State Warriors,Stephen Curry,Out,28 Nov: The Warriors announced Wednesday that Curry (quadriceps) will be re-evaluated in one week.,6 Dec
Houston Rockets,Steven Adams,Day-To-Day,2 Dec: Adams (rest) won't play Monday against the Jazz.,3 Dec
Houston Rockets,Dorian Finney-Smith,Out,2 Dec: Finney-Smith (ankle) will not play Monday against the Jazz.,11 Dec
Houston Rockets,Tari Eason,Out,"16 Nov: Eason (hip) is expected to miss four to six weeks, coach Ime Udoka announced Saturday, according to Rockets reporter Vaneesa Richardson.",18 Dec
Houston Rockets,Fred VanVleet,Out,"23 Sep: VanVleet suffered a torn ACL and may be out for the entire 2025-26 campaign, Shams Charania of ESPN reports.",1 Jun
Indiana Pacers,T.J. McConnell,Day-To-Day,"2 Dec: McConnell was limited to six minutes during Monday's 135-119 loss to the Cavs and he finished with four points (2-3 FG), one rebound, one assist and one steal.",3 Dec
Indiana Pacers,Kam Jones,Out,1 Dec: Jones (lower back) has been ruled out for Monday's game against the Cavaliers.,8 Dec
Indiana Pacers,Quenton Jackson,Out,1 Dec: Jackson (hamstring) will remain on the inactive list for Monday's game against the Cavs.,8 Dec
Indiana Pacers,Johnny Furphy,Out,1 Dec: Furphy (ankle) won't play Monday against the Cavs.,3 Dec
Indiana Pacers,Aaron Nesmith,Out,"16 Nov: Nesmith (knee) is expected to be out for around four weeks, Dustin Dopirak of The Indianapolis Star reports.",18 Dec
Indiana Pacers,Obi Toppin,Out,"1 Nov: Toppin will undergo surgery to place a screw in his right foot Monday, Dustin Dopirak of The Indianapolis Star reports.",2 Feb
Indiana Pacers,Tyrese Haliburton,Out,"8 Jul: Haliburton will miss the entire 2025-26 season while recovering from surgery on his right Achilles tendon, Shams Charania of ESPN reports.",1 Oct
LA Clippers,Jordan Miller,Day-To-Day,"2 Dec: Miller won't return to Monday's game against the Heat due to lower back tightness, independent NBA writer Justin Russo reports.",3 Dec
LA Clippers,Bogdan Bogdanovic,Out,"1 Dec: Bogdanovic (hip) has been ruled out for Monday's game against the Heat, independent NBA writer Justin Russo reports.",3 Dec
LA Clippers,Derrick Jones Jr.,Out,"18 Nov: Jones sustained a sprained MCL in his right knee and will be re-evaluated in six weeks, Shams Charania of ESPN reports.",30 Dec
LA Clippers,Bradley Beal,Out,"13 Nov: Beal will undergo season-ending surgery on his left hip, ESPN's Shams Charania reports.",1 Oct
Los Angeles Lakers,Marcus Smart,Out,"2 Dec: Smart (back) will not play Monday against the Suns, Dan Woike of The Athletic reports.",4 Dec
Memphis Grizzlies,Ja Morant,Out,"2 Dec: Morant (calf) is set to be re-evaluated after Tuesday's game against the Spurs, Michael Wallace of the Grizzlies' official site reports.",12 Dec
Memphis Grizzlies,Jock Landale,Day-To-Day,2 Dec: Landale is questionable for Tuesday's game against the Spurs due to left ankle soreness.,2 Dec
Memphis Grizzlies,Ty Jerome,Out,22 Nov: Jerome (calf) will be held out of games for at least 6-to-9 weeks.,15 Jan
Memphis Grizzlies,Javon Small,Out,"16 Nov: Small (toe) will be re-evaluated in three weeks, the Grizzlies announced Saturday.",7 Dec
Memphis Grizzlies,Brandon Clarke,Out,"11 Nov: The Grizzlies announced Tuesday that Clarke (knee) is progressing well, but he will be sidelined for another six-to-nine weeks.",30 Dec
Memphis Grizzlies,Scotty Pippen Jr.,Out,"18 Oct: Pippen will undergo a procedure for a left big toe injury and will be re-evaluated in 12 weeks, ESPN's Shams Charania reported Saturday.",15 Jan
Miami Heat,Keshad Johnson,Day-To-Day,"2 Dec: Johnson (illness) has been ruled out for Monday's game against the Clippers, Anthony Chiang of the Miami Herald reports.",3 Dec
Miami Heat,Pelle Larsson,Day-To-Day,"2 Dec: Larsson won't return to Monday's game against the Clippers due to a left foot sprain, Ira Winderman of the South Florida Sun Sentinel reports. He'll finish with five points (1-1 FG, 1-1 3Pt, 2-2 FT), one rebound and two assists in eight minutes.",3 Dec
Miami Heat,Terry Rozier,Out,"23 Oct: The NBA placed Rozier on immediate leave from the Heat on Thursday, ESPN's Shams Charania reports.",18 Dec
Milwaukee Bucks,Gary Harris,Day-To-Day,2 Dec: Harris (Achilles) has been ruled out for Monday's game against the Wizards.,3 Dec
Milwaukee Bucks,Kevin Porter Jr.,Day-To-Day,"2 Dec: Porter will miss the remainder of Monday's game against the Wizards due to back spasms, Justin Garcia of Locked On Bucks reports. He registered 20 points (12-15 FG, 5-6 3Pt, 1-2 FT), four rebounds, five assists and three steals before exiting.",3 Dec
Milwaukee Bucks,Taurean Prince,Out,14 Nov: Prince underwent surgery Thursday to repair the herniated disc in his neck and will remain out indefinitely.,2 Jan
Minnesota Timberwolves,Jordan Hawkins,Day-To-Day,2 Dec: Hawkins (illness) is listed as questionable for Tuesday's game against the Timberwolves.,2 Dec
Minnesota Timberwolves,Karlo Matkovic,Out,2 Dec: Matkovic (calf) won't suit up for Tuesday's game versus the Timberwolves.,8 Dec
Minnesota Timberwolves,Trey Murphy III,Day-To-Day,2 Dec: Murphy (elbow) is listed as questionable for Tuesday's game against the Timberwolves.,2 Dec
Minnesota Timberwolves,Jordan Poole,Out,2 Dec: Poole (quadriceps) is out for Tuesday's game against Minnesota.,4 Dec
Minnesota Timberwolves,Herbert Jones,Out,2 Dec: Jones (calf) won't play Tuesday against the Timberwolves.,4 Dec
Minnesota Timberwolves,Dejounte Murray,Out,"25 Sep: ESPN's Shams Charania reported Wednesday that Murray (Achilles) could return right after New Years, according to Pelicans Film Room.",2 Jan
New Orleans Pelicans,Trey Jemison III,Day-To-Day,1 Dec: Jemison is listed in the starting lineup for Friday's exhibition with Charlotte.,2 Dec
New Orleans Pelicans,OG Anunoby,Out,"1 Dec: Head coach Mike Brown said Sunday that Anunoby (hamstring) still doesn't have a timetable for his return to game action, though he has done some controlled on-court work, Kristian Winfield of the New York Daily News reports.",7 Dec
New Orleans Pelicans,Kevin McCullar Jr.,Day-To-Day,27 Nov: McCullar (nose) signed a two-way contract with the Knicks on Tuesday.,2 Dec
New Orleans Pelicans,Landry Shamet,Out,"27 Nov: Shamet (shoulder) will be re-evaluated in four weeks, Shams Charania of ESPN reports.",24 Dec
New York Knicks,Alex Caruso,Out,2 Dec: Caruso (quad) has been ruled out for Tuesday's game against the Warriors.,5 Dec
New York Knicks,Luguentz Dort,Out,2 Dec: Dort has been ruled out for Tuesday's game against the Warriors due to a right adductor strain.,5 Dec
New York Knicks,Isaiah Hartenstein,Out,"30 Nov: Hartenstein sustained a right soleus strain and will be re-evaluated in 10-to-14 days, Michael Scotto of USA Today reports.",10 Dec
New York Knicks,Nikola Topic,Out,"30 Oct: Topic has been diagnosed with testicular cancer, Thunder general manager Sam Presti announced Thursday, Justin Martinez of The Oklahoman reports.",20 Feb
New York Knicks,Thomas Sorber,Out,"6 Sep: The Thunder announced Friday that Sorber has sustained a torn ACL in his right knee during an offseason workout, NBA reporter Marc Stein reports.",1 Oct
Oklahoma City Thunder,Paolo Banchero,Out,1 Dec: Banchero (groin) has been ruled out for Monday's game against the Bulls.,3 Dec
Oklahoma City Thunder,Moritz Wagner,Out,25 Nov: Wagner (knee) is out for Tuesday's game against the 76ers.,3 Dec
Oklahoma City Thunder,Colin Castleton,Out,"24 Nov: The Magic plan to sign Castleton to a two-way deal, Michael Scotto of USA Today reports.",22 Dec
Orlando Magic,Quentin Grimes,Day-To-Day,2 Dec: Grimes (calf) is now questionable for Tuesday's game against the Wizards.,2 Dec
Orlando Magic,Andre Drummond,Day-To-Day,"2 Dec: Drummond (knee) participated in Tuesday's morning shootaround, Adam Aaronson of PhillyVoice.com reports.",2 Dec
Orlando Magic,Paul George,Day-To-Day,"2 Dec: George (knee, back) was able to participate in Tuesday's morning shootaround, Adam Aaronson of PhillyVoice.com reports.",2 Dec
Orlando Magic,Joel Embiid,Out,2 Dec: Embiid (knee) is out for Tuesday's game against the Wizards.,4 Dec
Orlando Magic,Trendon Watford,Out,"27 Nov: Watford (adductor) will be re-evaluated in two weeks, Noah Levick of NBC Sports Philadelphia reports.",18 Dec
Orlando Magic,Kelly Oubre Jr.,Out,"20 Nov: Oubre (knee) will miss at least two weeks, Tony Jones of The Athletic reports.",4 Dec
Philadelphia 76ers,Grayson Allen,Day-To-Day,"2 Dec: Allen (illness) won't play in Monday's game against the Lakers, Shane Young of Forbes.com reports.",5 Dec
Philadelphia 76ers,Devin Booker,Day-To-Day,"2 Dec: Booker won't return to Monday's game against the Lakers due to a right groin injury, Kellan Olson of ArizonaSports.com reports.",5 Dec
Philadelphia 76ers,Isaiah Livers,Out,"1 Dec: Livers (hip) has been ruled out for Monday's game against the Lakers, Duane Rankin of The Arizona Republic reports.",5 Dec
Philadelphia 76ers,Jalen Green,Out,"12 Nov: Green (hamstring) will be re-evaluated in four-to-six weeks, Shams Charania of ESPN reports.",18 Dec
Phoenix Suns,Matisse Thybulle,Out,2 Dec: Thybulle (thumb) has been ruled out for Tuesday's game against the Raptors.,7 Dec
Phoenix Suns,Donovan Clingan,Day-To-Day,2 Dec: Clingan (illness) is questionable for Tuesday's game against the Raptors.,2 Dec
Phoenix Suns,Scoot Henderson,Out,22 Nov: Henderson (hamstring) will be re-evaluated in 2-4 weeks.,20 Dec
Phoenix Suns,Jrue Holiday,Out,22 Nov: Holiday (calf) will be re-evaluated in 1-2 weeks.,5 Dec
Phoenix Suns,Blake Wesley,Out,"6 Nov: Wesley underwent a successful procedure to repair a fracture of the fifth metatarsal base in his right foot Wednesday, and he's expected to be sidelined for 8-12 weeks, Brett Siegel of ClutchPoints.com reports.",30 Jan
Phoenix Suns,Damian Lillard,Out,"25 Sep: Lillard won't be back on the court for the 2025-26 season, as he made clear during an interview with YouTube influencer Speed on Wednesday.",1 Oct
Portland Trail Blazers,Malik Monk,Day-To-Day,"2 Dec: Monk did not practice Monday due to shoulder soreness, Brenden Nunes of KHTK Sactown Sports 1140 reports.",3 Dec
Portland Trail Blazers,Dennis Schroder,Out,"1 Dec: Schroder (hip) is out for Sunday's game against the Grizzlies, James Ham of ESPN 1320 Sacramento reports.",3 Dec
Portland Trail Blazers,Domantas Sabonis,Out,"21 Nov: Sabonis has been diagnosed with a partially torn meniscus in his left knee and is expected to be evaluated in 3-to-4 weeks, Shams Charania of ESPN reports.",18 Dec
Sacramento Kings,Victor Wembanyama,Out,"2 Dec: Wembanyama (calf) remains without an official timetable to return, and according to Jeff McDonald of the San Antonio Express-News, it's unlikely that Wembanyama will play during the NBA Cup.",17 Dec
Sacramento Kings,Jordan McLaughlin,Out,"2 Dec: McLaughlin (hamstring) has been ruled out for Tuesday's game against the Grizzlies, Paul Garcia of ProjectSpurs.com reports.",8 Dec
Sacramento Kings,Stephon Castle,Out,"2 Dec: Castle (hip) is out for Tuesday's game against the Grizzlies, Paul Garcia of ProjectSpurs.comreports.",3 Dec
Sacramento Kings,Harrison Ingram,Day-To-Day,"25 Nov: Ingram has signed a two-way contract with the Spurs, Michael Scotto of USA Today reports.",2 Dec
San Antonio Spurs,A.J. Lawson,Day-To-Day,"2 Dec: Lawson signed a two-way contract with the Raptors on Saturday, Michael Scotto of USA Today reports.",3 Dec
San Antonio Spurs,RJ Barrett,Out,"26 Nov: The Raptors announced Wednesday that an MRI on Barrett's right knee revealed no structural damage, Esfandiar Baraheni of The Athletic reports. He has been diagnosed with a sprain and will be re-evaluated in seven days before the team updates his status.",5 Dec
Toronto Raptors,Oscar Tshiebwe,Day-To-Day,"29 Nov: Tshiebwe signed a one-year, two-way contract with the Jazz on Monday, Keith Smith of Spotrac.com reports.",2 Dec
Toronto Raptors,Georges Niang,Out,"23 Nov: Niang will have his left foot injury re-evaluated by Jazz medical staff in 10-to-14 days, Ben Anderson of KSL News Salt Lake City reports.",7 Dec
Toronto Raptors,Walker Kessler,Out,"6 Nov: Kessler will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, Tony Jones of The Athletic reports.",1 Oct
Utah Jazz,Sharife Cooper,Day-To-Day,2 Dec: Cooper has been ruled out for Monday's game versus Milwaukee due to a right calf strain.,2 Dec
Utah Jazz,Alex Sarr,Out,"2 Dec: Sarr (adductor), who won't play Monday against the Bucks, is also out for Tuesday's game against the 76ers, Varun Shankar of The Washington Post reports.",4 Dec
Utah Jazz,Corey Kispert,Out,"27 Nov: Kispert suffered a fractured right thumb Tuesday and is expected to miss a few weeks of action, Josh Robbins of The Athletic reports.",17 Dec
Utah Jazz,Tre Johnson,Out,"24 Nov: Johnson has a strained left hip flexor and doesn't have a timetable to return, Josh Robbins of The Athletic reports.",17 Dec
